,title,author
0,Tree of Smoke,
1,How to Be Both,Denis Johnson
2,Bel Canto,Ali Smith
3,Men We Reaped,Ann Patchett
4,"Wayward Lives, Beautiful Experiments",Jesmyn Ward
5,Bring Up the Bodies,Saidiya Hartman
6,On Beauty,Hilary Mantel
7,Station Eleven,Zadie Smith
8,The Days of Abandonment,Emily St. John Mandel
9,The Human Stain,Elena Ferrante; translated by Ann Goldstein
10,The Sympathizer,Philip Roth
11,The Return,Viet Thanh Nguyen
12,The Collected Stories of Lydia Davis,Hisham Matar
13,"Detransition, Baby",Torrey Peters
14,Frederick Douglass,David W. Blight
15,Pastoralia,George Saunders
16,The Emperor of All Maladies,Siddhartha Mukherjee
17,When We Cease to Understand the World,Benjamín Labatut; translated by Adrian Nathan West
18,Hurricane Season,Fernanda Melchor; translated by Sophie Hughes
19,Pulphead,John Jeremiah Sullivan
20,The Story of the Lost Child,Elena Ferrante; translated by Ann Goldstein
21,A Manual for Cleaning Women,Lucia Berlin
22,Septology,Jon Fosse; translated by Damion Searls
23,An American Marriage,Tayari Jones
24,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
25,Exit West,Mohsin Hamid
26,Olive Kitteridge,Elizabeth Strout
27,The Passage of Power,Robert Caro
28,Secondhand Time,Svetlana Alexievich; translated by Bela Shayevich
29,The Copenhagen Trilogy,Tove Ditlevsen; translated by Tiina Nunnally and Michael Favala Goldman
30,All Aunt Hagar’s Children,Edward P. Jones
31,The New Jim Crow,Michelle Alexander
32,The Friend,Sigrid Nunez
33,Far From the Tree,Andrew Solomon
34,We the Animals,Justin Torres
35,The Plot Against America,Philip Roth
36,The Great Believers,Rebecca Makkai
37,Veronica,Mary Gaitskill
38,10:04,Ben Lerner
39,Demon Copperhead,Barbara Kingsolver
40,Heavy,Kiese Laymon
41,Middlesex,Jeffrey Eugenides
42,Stay True,Hua Hsu
43,Nickel and Dimed,Barbara Ehrenreich
44,The Flamethrowers,Rachel Kushner
45,The Looming Tower,Lawrence Wright
46,Tenth of December,George Saunders
47,Runaway,Alice Munro
48,Train Dreams,Denis Johnson
49,Life After Life,Kate Atkinson
50,Trust,Hernan Diaz
51,The Vegetarian,Han Kang; translated by Deborah Smith
52,Persepolis,Marjane Satrapi
53,A Mercy,Toni Morrison
54,The Goldfinch,Donna Tartt
55,The Argonauts,Maggie Nelson
56,The Fifth Season,N.K. Jemisin
57,Postwar,Tony Judt
58,A Brief History of Seven Killings,Marlon James
59,Small Things Like These,Claire Keegan
60,H Is for Hawk,Helen Macdonald
61,A Visit From the Goon Squad,Jennifer Egan
62,The Savage Detectives,Roberto Bolaño; translated by Natasha Wimmer
63,The Years,Annie Ernaux; translated by Alison L. Strayer
64,Between the World and Me,Ta-Nehisi Coates
65,Fun Home,Alison Bechdel
66,Citizen,Claudia Rankine
67,Salvage the Bones,Jesmyn Ward
68,The Line of Beauty,Alan Hollinghurst
69,White Teeth,Zadie Smith
70,"Sing, Unburied, Sing",Jesmyn Ward
71,The Last Samurai,Helen DeWitt
72,Cloud Atlas,David Mitchell
73,Americanah,Chimamanda Ngozi Adichie
74,Atonement,Ian McEwan
75,Random Family,Adrian Nicole LeBlanc
76,The Overstory,Richard Powers
77,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro
78,Behind the Beautiful Forevers,Katherine Boo
79,Evicted,Matthew Desmond
80,Erasure,Percival Everett
81,Say Nothing,Patrick Radden Keefe
82,Lincoln in the Bardo,George Saunders
83,The Sellout,Paul Beatty
84,The Amazing Adventures of Kavalier & Clay,Michael Chabon
85,Pachinko,Min Jin Lee
86,Outline,Rachel Cusk
87,The Road,Cormac McCarthy
88,The Year of Magical Thinking,Joan Didion
89,The Brief Wondrous Life of Oscar Wao,Junot Díaz
90,Gilead,Marilynne Robinson
91,Never Let Me Go,Kazuo Ishiguro
92,Austerlitz,W.G. Sebald; translated by Anthea Bell
93,The Underground Railroad,Colson Whitehead
94,2666,Roberto Bolaño; translated by Natasha Wimmer
95,The Corrections,Jonathan Franzen
96,The Known World,Edward P. Jones
97,Wolf Hall,Hilary Mantel
98,The Warmth of Other Suns,Isabel Wilkerson
99,My Brilliant Friend,Elena Ferrante; translated by Ann Goldstein
